#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
184,2023/09/04,859,0.47,860,846.5,860,"11,936","10,170,718.70"
185,2023/09/03,855,-1.16,868,850,850,"12,011","10,269,681.30"
186,2023/08/30,865,-0.56,870,850,870,"32,666","28,101,637.40"
187,2023/08/29,869.9,-0.01,874.9,854.9,874.9,"35,039","30,179,210.70"
188,2023/08/28,870,0.12,875,865,874.9,"10,231","8,907,516.00"
189,2023/08/27,869,-0.69,890,865,890,"16,859","14,656,709.30"
190,2023/08/24,875,-0.35,889,866,875,"13,331","11,630,740.40"
191,2023/08/23,878.1,0.58,890,877,879.5,"10,744","9,468,265.10"
192,2023/08/22,873,1.28,875,860,875,"10,893","9,431,680.50"
193,2023/08/21,862,0.35,872.5,852.2,858,"15,751","13,582,293.10"
194,2023/08/20,859,-1.6,878.5,856,875,"14,577","12,578,131.60"
195,2023/08/17,873,-0.1,880,867.3,873,"18,623","16,234,365.10"
196,2023/08/16,873.9,-1.25,881.1,860.1,877.1,"50,296","43,929,494.80"
197,2023/08/15,885,-0.56,895,878,878,"21,232","18,770,110.10"
198,2023/08/14,890,-0.69,904,889,901,"14,776","13,182,546.30"
199,2023/08/13,896.2,0.25,909,876.2,876.2,"26,530","23,825,026.70"
200,2023/08/10,894,1.02,903,867.3,867.3,"23,414","20,944,874.80"
201,2023/08/09,885,3.75,895,845.1,855,"20,804","17,951,166.30"
202,2023/08/08,853,-1.84,875,853,870,"22,867","19,683,904.20"
203,2023/08/07,869,-0.11,879,865,875,"18,040","15,708,869.40"
204,2023/08/06,870,-0.9,894,860,894,"27,076","23,511,788.10"
205,2023/08/03,877.9,-0.11,896.4,874,896.4,"13,892","12,250,719.90"
206,2023/08/02,878.9,0.22,888,875,882,"14,691","12,895,933.40"
207,2023/08/01,877,-1.07,903.9,870,890,"23,012","20,223,918.20"
208,2023/07/31,886.5,0.17,900,876,876,"15,425","13,709,115.40"
209,2023/07/30,885,-1.67,909,880.2,900.1,"33,678","30,053,261.50"
210,2023/07/27,900,-1.42,920,900,920,"33,243","30,105,632.10"
211,2023/07/26,913,0.05,930.7,910.1,930.7,"22,876","20,948,906.10"
212,2023/07/25,912.5,-2.09,950.6,912.5,950.6,"48,767","44,998,315.70"
213,2023/07/24,932,1.08,939,910,926,"109,645","102,002,002.20"
214,2023/07/23,922,1.1,930,906,913,"42,672","39,221,823.60"
215,2023/07/20,912,-0.33,924,910,919,"34,496","31,517,039.30"
216,2023/07/19,915,-0.87,929.9,912,929.9,"32,094","29,436,994.60"
217,2023/07/18,923,0.54,930,916.5,930,"41,417","38,161,633.80"
218,2023/07/17,918,1.22,920,900.1,916.9,"36,302","33,141,391.50"
219,2023/07/16,906.9,0.51,914,902.3,902.3,"24,783","22,498,317.90"
220,2023/07/13,902.3,-0.85,924.9,900,919,"131,115","118,448,514.50"
221,2023/07/12,910,1.34,915,900,915,"94,463","85,480,942.90"
