#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
87,2024/12/31,233.00,-0.94,235.00,230.00,232.10,"39,097","9,056,880.80"
88,2024/12/29,235.20,-2.24,243.30,235.20,240.10,"32,503","7,729,173.40"
89,2024/12/26,240.60,-0.66,244.50,238.00,238.00,"22,649","5,473,076.40"
90,2024/12/24,242.20,0.37,248.00,238.00,240.00,"26,936","6,584,992.60"
91,2024/12/23,241.30,0.58,243.80,237.00,237.00,"19,965","4,816,253.20"
92,2024/12/22,239.90,1.22,244.00,236.00,238.00,"38,121","9,078,145.00"
93,2024/12/19,237.00,-0.21,240.00,235.60,237.00,"22,933","5,432,109.13"
94,2024/12/18,237.50,-1,246.70,237.00,241.90,"40,698","9,801,940.10"
95,2024/12/17,239.90,-0.87,246.80,238.00,240.00,"58,874","14,154,158.30"
96,2024/12/16,242.00,-2.81,249.00,240.20,245.20,"44,225","10,767,928.60"
97,2024/12/12,249.00,-1.81,258.00,248.60,256.60,"22,794","5,704,801.60"
98,2024/12/11,253.60,2.63,257.00,246.50,246.50,"41,155","10,372,794.90"
99,2024/12/10,247.10,-1.16,254.50,247.00,254.00,"21,108","5,257,551.50"
100,2024/12/09,250.00,0.68,255.00,246.00,250.00,"64,678","16,179,228.10"
