#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
90,2024/12/24,943.00,0.08,952.00,939.00,939.00,"15,851","15,021,487.50"
91,2024/12/23,942.20,-0.08,954.00,925.00,945.00,"19,818","18,662,075.50"
92,2024/12/22,943.00,0.64,973.00,942.00,955.70,"41,267","39,170,901.80"
93,2024/12/19,937.00,-0.53,950.00,930.00,942.00,"23,427","21,860,665.20"
94,2024/12/18,942.00,-0.42,952.00,940.00,946.00,"13,557","12,790,791.30"
95,2024/12/17,946.00,0.42,949.90,937.00,945.00,"12,083","11,415,648.20"
96,2024/12/16,942.00,-0.84,969.00,937.90,969.00,"23,470","22,116,807.50"
97,2024/12/12,950.00,-1.24,970.00,950.00,970.00,"15,518","14,805,206.60"
98,2024/12/11,961.90,0.72,969.00,951.00,969.00,"15,840","15,136,660.30"
99,2024/12/10,955.00,0.12,968.50,950.00,968.50,"10,810","10,339,167.50"
100,2024/12/09,953.90,0.51,966.90,944.10,966.90,"11,470","10,893,984.50"
101,2024/12/08,949.10,-0.73,970.00,945.10,970.00,"24,234","23,023,674.70"
102,2024/12/05,956.10,-0.3,969.00,955.00,959.00,"18,638","17,881,989.60"
103,2024/12/04,959.00,-1.03,988.30,951.00,988.30,"24,325","23,447,114.40"
104,2024/12/03,969.00,0.52,983.20,950.00,983.20,"46,033","44,143,949.30"
105,2024/12/02,964.00,-0.62,989.40,958.10,989.40,"49,707","48,084,795.80"
106,2024/12/01,970.00,-1.22,"1,000.00",967.00,"1,000.00","17,950","17,486,261.80"
107,2024/11/28,982.00,-0.62,999.00,980.00,991.00,"13,035","12,816,911.10"
108,2024/11/27,988.10,0.53,"1,040.00",983.00,995.00,"20,161","20,001,551.20"
109,2024/11/26,982.90,0.71,995.00,975.00,995.00,"15,520","15,191,671.40"
110,2024/11/25,976.00,1.56,"1,053.00",960.00,970.00,"31,501","30,826,635.20"
111,2024/11/24,961.00,-0.41,978.00,960.00,970.00,"34,014","32,743,916.40"
112,2024/11/21,965.00,-1.43,997.00,965.00,980.00,"26,069","25,340,012.10"
113,2024/11/20,979.00,0.31,979.00,970.10,977.50,"26,692","26,034,194.20"
114,2024/11/19,976.00,-0.91,"1,004.70",975.10,"1,004.70","27,869","27,301,335.00"
115,2024/11/17,985.00,-0.81,999.00,979.00,981.00,"49,529","48,952,104.80"
116,2024/11/14,993.00,0.81,"1,000.00",980.00,994.90,"33,199","32,791,148.50"
117,2024/11/13,985.00,-1.01,999.00,981.00,995.00,"45,738","45,187,326.20"
118,2024/11/12,995.00,-1.68,"1,030.00",980.00,"1,030.00","73,654","73,770,019.30"
